key,input_type,allow_input,is_multiple,values,key_translation.en_US,key_translation.de_DE,value_translation.en_US,value_translation.de_DE
gestellfarbe,text,yes,no,"graphitschwarz RAL 9011,grau,bright grey,Chrom,schwarzgrau RAL 7021,schwarz,silber,weißaluminium, ähnlich RAL 9006,lichtgrau, ähnlich RAL 7035,graubraun RAL 8019,basaltgrau, ähnlich RAL 7012,basaltgrau RAL 7012,tiefschwarz RAL 9005,weißaluminium RAL 9006,schokoladenbraun RAL 8017,graubraun, ähnlich RAL 8019,enzianblau, ähnlich RAL 5010,weiß,alusilber,lichtgrau,verchromt",gestellfarbe,gestellfarbe,"graphitschwarz RAL 9011,grau,bright grey,Chrom,schwarzgrau RAL 7021,schwarz,silber,weißaluminium, ähnlich RAL 9006,lichtgrau, ähnlich RAL 7035,graubraun RAL 8019,basaltgrau, ähnlich RAL 7012,basaltgrau RAL 7012,tiefschwarz RAL 9005,weißaluminium RAL 9006,schokoladenbraun RAL 8017,graubraun, ähnlich RAL 8019,enzianblau, ähnlich RAL 5010,weiß,alusilber,lichtgrau,verchromt","graphitschwarz RAL 9011,grau,bright grey,Chrom,schwarzgrau RAL 7021,schwarz,silber,weißaluminium, ähnlich RAL 9006,lichtgrau, ähnlich RAL 7035,graubraun RAL 8019,basaltgrau, ähnlich RAL 7012,basaltgrau RAL 7012,tiefschwarz RAL 9005,weißaluminium RAL 9006,schokoladenbraun RAL 8017,graubraun, ähnlich RAL 8019,enzianblau, ähnlich RAL 5010,weiß,alusilber,lichtgrau,verchromt"
hohenverstellbereich_mm,text,yes,no,"420 – 530",hohenverstellbereich_mm,hohenverstellbereich_mm,420 – 530,"420 – 530"
kategorie,text,yes,no,"Bandscheiben-Bürodrehstuhl,Ledersessel",kategorie,kategorie,"Bandscheiben-Bürodrehstuhl,Ledersessel","Bandscheiben-Bürodrehstuhl,Ledersessel"
lendenwirbelstutze,text,yes,no,"ja,nein",lendenwirbelstutze,lendenwirbelstutze,"ja,nein","ja,nein"
rollenausfuhrung,text,yes,no,"Rollen für weiche Böden",rollenausfuhrung,rollenausfuhrung,Rollen für weiche Böden,"Rollen für weiche Böden"
ruckenlehnenhohe_mm,text,yes,no,"400,580,560,460",ruckenlehnenhohe_mm,ruckenlehnenhohe_mm,"400,580,560,460","400,580,560,460"
sitzbreite_mm,text,yes,no,"460,480",sitzbreite_mm,sitzbreite_mm,"460,480","460,480"
sitzmechanik,text,yes,no,"Synchronmechanik mit Gegengewichteinstellung,Wippmechanik mit Gegengewichteinstellung",sitzmechanik,sitzmechanik,"Synchronmechanik mit Gegengewichteinstellung,Wippmechanik mit Gegengewichteinstellung","Synchronmechanik mit Gegengewichteinstellung,Wippmechanik mit Gegengewichteinstellung"
sitzneigungsverstellung,text,yes,no,"ja,nein",sitzneigungsverstellung,sitzneigungsverstellung,"ja,nein","ja,nein"
sitztiefe_mm,text,yes,no,"430,450,480",sitztiefe_mm,sitztiefe_mm,"430,450,480","430,450,480"
unterbau,text,yes,no,Nein,unterbau,unterbau,Nein,Nein
gestellmaterial,text,yes,no,"Vierkantrohr, kunststoffbeschichtet,Stahlrohr, verchromt,Vierkant-Stahlrohr,Vierkantrohr, pulverbeschichtet,Stahl, pulverbeschichtet,Stahlrohr,Stahl,Metall, pulverbeschichtet,Metall,Stahl, verchromt,Stahlrohr alusilber pulverbeschichtet,Stahlrohr, pulverbeschichtet,Metall, verchromt,Holz",gestellmaterial,gestellmaterial,"Vierkantrohr, kunststoffbeschichtet,Stahlrohr, verchromt,Vierkant-Stahlrohr,Vierkantrohr, pulverbeschichtet,Stahl, pulverbeschichtet,Stahlrohr,Stahl,Metall, pulverbeschichtet,Metall,Stahl, verchromt,Stahlrohr alusilber pulverbeschichtet,Stahlrohr, pulverbeschichtet,Metall, verchromt,Holz","Vierkantrohr, kunststoffbeschichtet,Stahlrohr, verchromt,Vierkant-Stahlrohr,Vierkantrohr, pulverbeschichtet,Stahl, pulverbeschichtet,Stahlrohr,Stahl,Metall, pulverbeschichtet,Metall,Stahl, verchromt,Stahlrohr alusilber pulverbeschichtet,Stahlrohr, pulverbeschichtet,Metall, verchromt,Holz"
plattenform,text,yes,no,"rechteckig,Freiformplatte in Nierenform",plattenform,plattenform,"rechteckig,Freiformplatte in Nierenform","rechteckig,Freiformplatte in Nierenform"
radlagerung,text,yes,no,"Rollenlager,Wälzlager,Gleitlager,Kugellager",radlagerung,radlagerung,"Rollenlager,Wälzlager,Gleitlager,Kugellager","Rollenlager,Wälzlager,Gleitlager,Kugellager"
klappbar,text,yes,no,Nein,klappbar,klappbar,Nein,Nein
gabellange_mm,text,yes,no,"1150,800,900",gabellange_mm,gabellange_mm,"1150,800,900","1150,800,900"
lastrollenausfuhrung,text,yes,no,Tandem,lastrollenausfuhrung,lastrollenausfuhrung,Tandem,Tandem
lastrollenmaterial,text,yes,no,"Nylon,Polyurethan",lastrollenmaterial,lastrollenmaterial,"Nylon,Polyurethan","Nylon,Polyurethan"
lenkraddurchmesser_mm,text,yes,no,"200,180",lenkraddurchmesser_mm,lenkraddurchmesser_mm,"200,180","200,180"
lenkradmaterial,text,yes,no,"Nylon,Polyurethan,Vollgummi",lenkradmaterial,lenkradmaterial,"Nylon,Polyurethan,Vollgummi","Nylon,Polyurethan,Vollgummi"
tragbreite_mm,text,yes,no,540,tragbreite_mm,tragbreite_mm,540,540
tragfahigkeit_kg,text,yes,no,"2000,2500",tragfahigkeit_kg,tragfahigkeit_kg,"2000,2500","2000,2500"
gabelbreite_mm,text,yes,no,160,gabelbreite_mm,gabelbreite_mm,160,160
gesamtlange_mm,text,yes,no,"1540,1542,1190,1290",gesamtlange_mm,gesamtlange_mm,"1540,1542,1190,1290","1540,1542,1190,1290"
hubbereich_mm,text,yes,no,"85 – 200,75 – 195",hubbereich_mm,hubbereich_mm,"85 – 200,75 – 195","85 – 200,75 – 195"
lastrollendurchmesser_mm,text,yes,no,"82,80",lastrollendurchmesser_mm,lastrollendurchmesser_mm,"82,80","82,80"
mindestbestellmenge_pces,text,yes,no,1,mindestbestellmenge_pces,mindestbestellmenge_pces,1,1
oberflache,text,yes,no,pulverbeschichtet,oberflache,oberflache,pulverbeschichtet,pulverbeschichtet
ausstattung_waagen,text,yes,no,"inkl. Batterie,ohne Drucker,mit Thermodrucker",ausstattung_waagen,ausstattung_waagen,"inkl. Batterie,ohne Drucker,mit Thermodrucker","inkl. Batterie,ohne Drucker,mit Thermodrucker"
gewicht_kg,text,yes,no,76,gewicht_kg,gewicht_kg,76,76
lastrollenbreite_mm,text,yes,no,70,lastrollenbreite_mm,lastrollenbreite_mm,70,70
lenkeinschlag_grad,text,yes,no,205,lenkeinschlag_grad,lenkeinschlag_grad,205,205
lenkradbreite_mm,text,yes,no,50,lenkradbreite_mm,lenkradbreite_mm,50,50
schutzart,text,yes,no,IP65,schutzart,schutzart,IP65,IP65
ziffernschritt_kg,text,yes,no,5,ziffernschritt_kg,ziffernschritt_kg,5,5
tafelmaterial,text,yes,no,"Stahlblech,Metall, pulverbeschichtet,Metall, lackiert",tafelmaterial,tafelmaterial,"Stahlblech,Metall, pulverbeschichtet,Metall, lackiert","Stahlblech,Metall, pulverbeschichtet,Metall, lackiert"
radausstattung,text,yes,no,"4 Lenkrollen, davon 2 mit Feststellern,4 Rollen,5 Laufrollen, bremsbar,2 Räder,mit 4 Lenkrollen,2 Bockrollen, 2 Lenkrollen mit Feststellern",radausstattung,radausstattung,"4 Lenkrollen, davon 2 mit Feststellern,4 Rollen,5 Laufrollen, bremsbar,2 Räder,mit 4 Lenkrollen,2 Bockrollen, 2 Lenkrollen mit Feststellern","4 Lenkrollen, davon 2 mit Feststellern,4 Rollen,5 Laufrollen, bremsbar,2 Räder,mit 4 Lenkrollen,2 Bockrollen, 2 Lenkrollen mit Feststellern"
batterie,text,yes,no,Nein,batterie,batterie,Nein,Nein
deckel,text,yes,no,"Nein,Ja",deckel,deckel,"Nein,Ja","Nein,Ja"
auszugsperre,text,yes,no,Nein,auszugsperre,auszugsperre,Nein,Nein
aao963,text,yes,no,2.0,aao963,aao963,2.0,2.0
baa351,text,yes,no,"silber/schwarz,schwarz",baa351,baa351,"silber/schwarz,schwarz","silber/schwarz,schwarz"
baf505,text,yes,no,"USB 2.0",baf505,baf505,USB 2.0,"USB 2.0"
ablagebrett,text,yes,no,Nein,ablagebrett,ablagebrett,Nein,Nein
magnethaftend,text,yes,no,Ja,magnethaftend,magnethaftend,Ja,Ja
aaf631,text,yes,no,"USB 2.0",aaf631,aaf631,USB 2.0,"USB 2.0"
aao847,text,yes,no,"B.UNLIMITED AES",aao847,aao847,B.UNLIMITED AES,"B.UNLIMITED AES"
verschlussart,text,yes,no,"Hebelspannverschluss mit integriertem Zylinderschloss,Doppelbartschloss mit 2 Schlüsseln",verschlussart,verschlussart,"Hebelspannverschluss mit integriertem Zylinderschloss,Doppelbartschloss mit 2 Schlüsseln","Hebelspannverschluss mit integriertem Zylinderschloss,Doppelbartschloss mit 2 Schlüsseln"
sitzflachen-_u_lehnenmaterial,text,yes,no,"Leder,100% Polyacryl, Buchenschichtholz",sitzflachen-_u_lehnenmaterial,sitzflachen-_u_lehnenmaterial,"Leder,100% Polyacryl, Buchenschichtholz","Leder,100% Polyacryl, Buchenschichtholz"
ve_pces,text,yes,no,2,ve_pces,ve_pces,2,2
ausfuhrung_sitzschale,text,yes,no,"Sitz/Rückenlehne durchgehend",ausfuhrung_sitzschale,ausfuhrung_sitzschale,Sitz/Rückenlehne durchgehend,"Sitz/Rückenlehne durchgehend"
polsterung,text,yes,no,Sitzfläche,polsterung,polsterung,Sitzfläche,Sitzfläche
bezugsfarbe,text,yes,no,"weiß,blaugrün,grau,schwarz,blau,weinrot,lila,bordeaux,anthrazit,rot,dunkelblau,royalblau,apfelgrün,orange,blau gemustert,graublau,türkisblau,chocolate,beige",bezugsfarbe,bezugsfarbe,"weiß,blaugrün,grau,schwarz,blau,weinrot,lila,bordeaux,anthrazit,rot,dunkelblau,royalblau,apfelgrün,orange,blau gemustert,graublau,türkisblau,chocolate,beige","weiß,blaugrün,grau,schwarz,blau,weinrot,lila,bordeaux,anthrazit,rot,dunkelblau,royalblau,apfelgrün,orange,blau gemustert,graublau,türkisblau,chocolate,beige"
gesamtbreite_mm,text,yes,no,450,gesamtbreite_mm,gesamtbreite_mm,450,450
gesamthohe_mm,text,yes,no,890,gesamthohe_mm,gesamthohe_mm,890,890
gesamttiefe_mm,text,yes,no,570,gesamttiefe_mm,gesamttiefe_mm,570,570
sitzflachen-u_lehnenfarbe,text,yes,no,"schwarz,beige,blaubeere, natur,himbeere, natur,anthrazit, natur",sitzflachen-u_lehnenfarbe,sitzflachen-u_lehnenfarbe,"schwarz,beige,blaubeere, natur,himbeere, natur,anthrazit, natur","schwarz,beige,blaubeere, natur,himbeere, natur,anthrazit, natur"
mindestbestellmenge,text,yes,no,"1,3,5",mindestbestellmenge,mindestbestellmenge,"1,3,5","1,3,5"
korpusfarbe,text,yes,no,"lichtgrau,lichtgrau RAL 7035,schwarzgrau RAL 7021,Weißaluminium,lichtblau RAL 5012,blaugrau RAL 7031,Buche dekor,silber,silbergrau RAL 7001,hellelfenbein,weiß,anthrazitgrau,Ahorn dekor,schwarz",korpusfarbe,korpusfarbe,"lichtgrau,lichtgrau RAL 7035,schwarzgrau RAL 7021,Weißaluminium,lichtblau RAL 5012,blaugrau RAL 7031,Buche dekor,silber,silbergrau RAL 7001,hellelfenbein,weiß,anthrazitgrau,Ahorn dekor,schwarz","lichtgrau,lichtgrau RAL 7035,schwarzgrau RAL 7021,Weißaluminium,lichtblau RAL 5012,blaugrau RAL 7031,Buche dekor,silber,silbergrau RAL 7001,hellelfenbein,weiß,anthrazitgrau,Ahorn dekor,schwarz"
fachbodenfarbe,text,yes,no,"graphitschwarz,grau",fachbodenfarbe,fachbodenfarbe,"graphitschwarz,grau","graphitschwarz,grau"
innenausstattung,text,yes,no,"4 Fachböden,4 verstellbare Fachböden,4 Fachböden, Mitteltrennwand,8 Fachböden, Mitteltrennwand,links: 4 Fachböden fest eingeschweißt, rechts: 1 Kleiderstange, 3 Schiebehaken,links: 4 Fachböden fest eingeschweißt, rechts: 1 Hutboden, 1 Kleiderstange, 3 Schiebehaken,links: 1 Hutboden, 1 Kleiderstange, 5 Schiebehaken, rechts: 1 Hutboden, 1 Kleiderstange, 5 Schiebeha,1 Kleiderstange, 3 Haken,1 Kleiderstange,1 Kleiderstange, 4 Schiebehaken,links: 4 Fachböden fest eingeschweißt, rechts: 1 Hutboden, 1 Kleiderstange, 5 Schiebehaken,ohne Innenausstattung,1 Hutboden, 1 Kleiderstange,1 Kleiderstange mit 3 Haken,1 Hutboden, 1 Kleiderstange, 4 Schiebehaken,1 Hutboden, 1 Kleiderstange, 6 Schiebehaken, feste Mitteltrennwand,1 Hutboden, 1 Kleiderstange, 3 Schiebehaken,1 Kleiderstange, 3 verschiebbare Haken,Garderobe und 3 kurze Fachböden,5 Fachböden,2 verstellbare Fachböden,3 verstellbare Fachböden und 1 Schließfach,1 Hutboden, 1 Kleiderstange, 3 Fachböden, Mittelwand,3 verstellbare Fachböden, 1 fester Fachboden,2 Fachböden,1 Fachboden",innenausstattung,innenausstattung,"4 Fachböden,4 verstellbare Fachböden,4 Fachböden, Mitteltrennwand,8 Fachböden, Mitteltrennwand,links: 4 Fachböden fest eingeschweißt, rechts: 1 Kleiderstange, 3 Schiebehaken,links: 4 Fachböden fest eingeschweißt, rechts: 1 Hutboden, 1 Kleiderstange, 3 Schiebehaken,links: 1 Hutboden, 1 Kleiderstange, 5 Schiebehaken, rechts: 1 Hutboden, 1 Kleiderstange, 5 Schiebeha,1 Kleiderstange, 3 Haken,1 Kleiderstange,1 Kleiderstange, 4 Schiebehaken,links: 4 Fachböden fest eingeschweißt, rechts: 1 Hutboden, 1 Kleiderstange, 5 Schiebehaken,ohne Innenausstattung,1 Hutboden, 1 Kleiderstange,1 Kleiderstange mit 3 Haken,1 Hutboden, 1 Kleiderstange, 4 Schiebehaken,1 Hutboden, 1 Kleiderstange, 6 Schiebehaken, feste Mitteltrennwand,1 Hutboden, 1 Kleiderstange, 3 Schiebehaken,1 Kleiderstange, 3 verschiebbare Haken,Garderobe und 3 kurze Fachböden,5 Fachböden,2 verstellbare Fachböden,3 verstellbare Fachböden und 1 Schließfach,1 Hutboden, 1 Kleiderstange, 3 Fachböden, Mittelwand,3 verstellbare Fachböden, 1 fester Fachboden,2 Fachböden,1 Fachboden","4 Fachböden,4 verstellbare Fachböden,4 Fachböden, Mitteltrennwand,8 Fachböden, Mitteltrennwand,links: 4 Fachböden fest eingeschweißt, rechts: 1 Kleiderstange, 3 Schiebehaken,links: 4 Fachböden fest eingeschweißt, rechts: 1 Hutboden, 1 Kleiderstange, 3 Schiebehaken,links: 1 Hutboden, 1 Kleiderstange, 5 Schiebehaken, rechts: 1 Hutboden, 1 Kleiderstange, 5 Schiebeha,1 Kleiderstange, 3 Haken,1 Kleiderstange,1 Kleiderstange, 4 Schiebehaken,links: 4 Fachböden fest eingeschweißt, rechts: 1 Hutboden, 1 Kleiderstange, 5 Schiebehaken,ohne Innenausstattung,1 Hutboden, 1 Kleiderstange,1 Kleiderstange mit 3 Haken,1 Hutboden, 1 Kleiderstange, 4 Schiebehaken,1 Hutboden, 1 Kleiderstange, 6 Schiebehaken, feste Mitteltrennwand,1 Hutboden, 1 Kleiderstange, 3 Schiebehaken,1 Kleiderstange, 3 verschiebbare Haken,Garderobe und 3 kurze Fachböden,5 Fachböden,2 verstellbare Fachböden,3 verstellbare Fachböden und 1 Schließfach,1 Hutboden, 1 Kleiderstange, 3 Fachböden, Mittelwand,3 verstellbare Fachböden, 1 fester Fachboden,2 Fachböden,1 Fachboden"
zerkleinerungsart,text,yes,no,"Partikel,Streifen",zerkleinerungsart,zerkleinerungsart,"Partikel,Streifen","Partikel,Streifen"
sicherheitsstufe_nach_din_66399,text,yes,no,"P-4,P-2,P-5",sicherheitsstufe_nach_din_66399,sicherheitsstufe_nach_din_66399,"P-4,P-2,P-5","P-4,P-2,P-5"
geeignet_zur_vernichtung_von_cds,text,yes,no,Nein,geeignet_zur_vernichtung_von_cds,geeignet_zur_vernichtung_von_cds,Nein,Nein
geeignet_zur_vernichtung_von_kreditkarten,text,yes,no,"Nein,Ja",geeignet_zur_vernichtung_von_kreditkarten,geeignet_zur_vernichtung_von_kreditkarten,"Nein,Ja","Nein,Ja"
tafelfarbe,text,yes,no,weiß,tafelfarbe,tafelfarbe,weiß,weiß
plattenfarbe,text,yes,no,"weiß,lichtgrau,Buche-Dekor,sand,grau,Buche natur,Esche-Dekor, schwarz,beige,Ahorn-Dekor,reinweiß,schwarz,Nussbaum-Dekor",plattenfarbe,plattenfarbe,"weiß,lichtgrau,Buche-Dekor,sand,grau,Buche natur,Esche-Dekor, schwarz,beige,Ahorn-Dekor,reinweiß,schwarz,Nussbaum-Dekor","weiß,lichtgrau,Buche-Dekor,sand,grau,Buche natur,Esche-Dekor, schwarz,beige,Ahorn-Dekor,reinweiß,schwarz,Nussbaum-Dekor"
tischplattenmaterial,text,yes,no,"Spanplatte, melaminharzbeschichtet,Spanplatte, melaminharzbeschichtet, mit ABS-Kanten",tischplattenmaterial,tischplattenmaterial,"Spanplatte, melaminharzbeschichtet,Spanplatte, melaminharzbeschichtet, mit ABS-Kanten","Spanplatte, melaminharzbeschichtet,Spanplatte, melaminharzbeschichtet, mit ABS-Kanten"
papierformat,text,yes,no,"DIN A4,DIN A5,DIN A6,DIN A3",papierformat,papierformat,"DIN A4,DIN A5,DIN A6,DIN A3","DIN A4,DIN A5,DIN A6,DIN A3"
form,text,yes,no,"quadratisch,rechteckig,Trapezform,Trapez,rund",form,form,"quadratisch,rechteckig,Trapezform,Trapez,rund","quadratisch,rechteckig,Trapezform,Trapez,rund"
schnittart,text,yes,no,Streifenschnitt,schnittart,schnittart,Streifenschnitt,Streifenschnitt
fachbodenmaterial,text,yes,no,"Spanplatte, melaminharzbeschichtet",fachbodenmaterial,fachbodenmaterial,"Spanplatte, melaminharzbeschichtet","Spanplatte, melaminharzbeschichtet"
aac868,text,yes,no,"16 Gbyte,8 Gbyte",aac868,aac868,"16 Gbyte,8 Gbyte","16 Gbyte,8 Gbyte"
ablagenfarbe,text,yes,no,Buche-Dekor,ablagenfarbe,ablagenfarbe,Buche-Dekor,Buche-Dekor
frontfarbe,text,yes,no,"weiß,grau,blau,rauchfarben",frontfarbe,frontfarbe,"weiß,grau,blau,rauchfarben","weiß,grau,blau,rauchfarben"
ausstattung,text,yes,no,"mit ausziehbarem Wagen,mit Lichtschranke",ausstattung,ausstattung,"mit ausziehbarem Wagen,mit Lichtschranke","mit ausziehbarem Wagen,mit Lichtschranke"
ablagenmaterial,text,yes,no,"Möbelplatte, melaminharzbeschichtet,Glas",ablagenmaterial,ablagenmaterial,"Möbelplatte, melaminharzbeschichtet,Glas","Möbelplatte, melaminharzbeschichtet,Glas"
tretmechanismus,text,yes,no,Nein,tretmechanismus,tretmechanismus,Nein,Nein
